PO_Date,PO_Number,Item_ID,Item_Description,Manufacturer_Name,Manufacturer_ID,Lowest_Unit_Of_Measure,Purchasing_Unit_Of_Measure,Vendor_Name,Vendor_ID,Vendor_City,Vendor_Active_Status,Contract_ID,Contract_Description,Contract_Type,Contract_Start_Date,Contract_End_Date,Contract_Price(Million) ,Contract_UOM,Unit_Of_Measure,Unit_Of_Measure_In_Number,Quantity_(at_UOM),Price_Per_UOM ($),Total_Price ($),Department
02-02-2022,PO0125,IT15,Syringe,Siemens Healthineers,307,PK50,PK50,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,22,99,PK50,50,32,1750,56000,Surgical Department
05-09-2022,PO0126,IT16,X-ray Machine,Johnson & Johnson,301,EA,EA,Cerner Health Services HDX,V928,San Antonio,Yes,1016,metus sapien,FP,29-05-2021,29-08-2022,13,96,EA,1,33,2000,66000,Surgical Department
13-05-2022,PO0127,IT17,Bandag,Teleflex,315,EA,EA,myhELO,V653,Salt Lake City,Yes,1017,in hac habitasse platea,FP,28-07-2021,06-11-2022,5,95,EA,1,29,2,58,Paramedical Department
16-07-2021,PO0128,IT18,Crutches,3M Company,372,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,23,82,EA,1,38,13,494,Nursing Department
20-06-2021,PO0129,IT19,Plaster,Terumo,351,EA,EA,Toyon Associates Inc,V305,New York,Yes,1019,quam pharetra magna ac,FP,16-10-2021,02-12-2022,16,2,EA,1,24,10,240,Radiology Department
05-09-2022,PO0130,IT20,Cotton Wool,Nipro,347,DZ,DZ,Healthcare IP,V425,Denver,Yes,1020,viverra dapibus,CR,28-04-2021,25-10-2022,13,2,DZ,12,10,120,1200,Surgical Department
24-08-2021,PO0131,IT21,Surgical Mask,Poly Medicure Ltd,318,PK100,PK100,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,16,30,PK100,100,49,100,4900,Surgical Department
14-07-2021,PO0132,IT22,Oxygen Mask,Ribbel International Ltd,378,PK50,PK50,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,19,80,PK50,50,2,600,1200,Surgical Department
01-06-2021,PO0133,IT23,Dropper,Advin Healthcare,324,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,16,70,EA,1,46,1,46,Surgical Department
25-12-2021,PO0134,IT24,Needle,Aegis Lifesciences Private Limited,398,PK50,PK50,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,1,28,PK50,50,19,250,4750,Paramedical Department
13-08-2022,PO0135,IT25,Cane,Smiths Medical,365,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,9,28,EA,1,22,10,220,Nursing Department
31-05-2022,PO0136,IT26,Surgical Clamps,Cardinal Health,372,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,15,61,EA,1,33,35,1155,Surgical Department
13-09-2022,PO0137,IT27,Forceps,Becton Dickinson,390,DZ,DZ,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,11,14,DZ,12,42,180,7560,Surgical Department
20-09-2021,PO0138,IT28,Surgical Table,General Electric,350,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,20,13,EA,1,27,1600,43200,Outpatient Department
18-03-2022,PO0139,IT29,Utility Table,Medtronic PLC,335,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,14,42,EA,1,10,60,600,Surgical Department
28-07-2022,PO0140,IT30,Instrument Table,Siemens Healthineers,307,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,9,22,EA,1,15,60,900,Surgical Department
17-11-2021,PO0141,IT31,Ventilator,Johnson & Johnson,301,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,20,7,EA,1,27,3000,81000,Nursing Department
19-05-2021,PO0142,IT32,Mayo Stands,Teleflex,315,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,6,91,EA,1,29,85,2465,Paramedical Department
19-11-2021,PO0143,IT33,Kickbuckets,3M Company,372,EA,EA,eSolutions,V090,Charlotte,Yes,1013,enim,TM,24-01-2021,31-11-2021,15,37,EA,1,27,15,405,Outpatient Department
11-04-2022,PO0144,IT34,Arm Supports,Terumo,351,EA,EA,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,16,29,EA,1,4,5,20,Paramedical Department
17-06-2021,PO0145,IT35,Medical Syringe Infusion,Nipro,347,EA,EA,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,18,23,EA,1,35,250,8750,Paramedical Department
13-05-2021,PO0146,IT36,Pacemakers,Poly Medicure Ltd,318,EA,EA,Cerner Health Services HDX,V928,San Antonio,Yes,1016,metus sapien,FP,29-05-2021,29-08-2022,3,37,EA,1,36,1200,43200,Nursing Department
05-12-2021,PO0147,IT37,Defibrillators,Ribbel International Ltd,378,EA,EA,myhELO,V653,Salt Lake City,Yes,1017,in hac habitasse platea,FP,28-07-2021,06-11-2022,14,61,EA,1,6,1500,9000,Nursing Department
18-10-2021,PO0148,IT38,Wheelchairs,Advin Healthcare,324,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,18,17,EA,1,34,80,2720,Outpatient Department
15-07-2021,PO0149,IT39,Traction Equipment,Aegis Lifesciences Private Limited,398,EA,EA,Toyon Associates Inc,V305,New York,Yes,1019,quam pharetra magna ac,FP,16-10-2021,02-12-2022,17,12,EA,1,23,165,3795,Surgical Department
22-08-2021,PO0150,IT40,Needle Holder,Smiths Medical,365,PK50,PK50,Healthcare IP,V425,Denver,Yes,1020,viverra dapibus,CR,28-04-2021,25-10-2022,13,95,PK50,50,36,1250,45000,Surgical Department
25-01-2022,PO0151,IT41,Medicine Cup,Cardinal Health,372,EA,EA,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,12,84,EA,1,28,5,140,Nursing Department
07-11-2022,PO0152,IT42,Gauze,Becton Dickinson,390,EA,EA,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,24,10,EA,1,8,7,56,Surgical Department
10-09-2022,PO0153,IT43,Forceps,General Electric,350,DZ,DZ,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,6,76,DZ,12,5,180,900,Paramedical Department
16-05-2022,PO0154,IT44,Trays,Medtronic PLC,335,EA,EA,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,20,67,EA,1,41,10,410,Outpatient Department
23-07-2021,PO0155,IT45,Cotton Swabs,Siemens Healthineers,307,PK100,PK100,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,4,60,PK100,100,25,100,2500,Surgical Department
09-05-2022,PO0156,IT46,Surgical lights,Johnson & Johnson,301,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,17,75,EA,1,39,2000,78000,Surgical Department
07-01-2022,PO0157,IT47,Anesthesia machine,Teleflex,315,EA,EA,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,13,14,EA,1,30,875,26250,Nursing Department
31-07-2021,PO0158,IT48,Walkers,3M Company,372,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,21,95,EA,1,26,20,520,Nursing Department
21-09-2021,PO0159,IT49,Tourniquet,Terumo,351,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,20,85,EA,1,47,260,12220,Nursing Department
23-09-2021,PO0160,IT50,Splints,Nipro,347,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,21,74,EA,1,33,12,396,Surgical Department
12-10-2021,PO0161,IT51,Slings,Poly Medicure Ltd,318,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,14,60,EA,1,34,7,238,Outpatient Department
05-09-2021,PO0162,IT52,ECG Machine,Ribbel International Ltd,378,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,24,82,EA,1,8,300,2400,Outpatient Department
01-05-2022,PO0163,IT53,Nebulizers,Advin Healthcare,324,EA,EA,eSolutions,V090,Charlotte,No,1013,enim,TM,24-01-2021,31-11-2021,22,31,EA,1,8,15,120,Outpatient Department
07-04-2022,PO0164,IT54,Sutures,Aegis Lifesciences Private Limited,398,EA,EA,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,22,23,EA,1,27,12,324,Surgical Department
22-03-2022,PO0165,IT55,Braces,Smiths Medical,365,EA,EA,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,4,41,EA,1,41,60,2460,Surgical Department
23-03-2022,PO0166,IT1,Stethscope,Johnson & Johnson,301,EA,EA,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,21,48,EA,1,38,150,5700,Nursing Department
07-03-2022,PO0167,IT2,Scissor,Teleflex,315,DZ,DZ,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,21,64,DZ,12,25,60,1500,Surgical Department
16-09-2021,PO0168,IT3,Stretcher,3M Company,372,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,21,96,EA,1,19,2000,38000,Radiology Department
02-04-2022,PO0169,IT4,Magnifier,Terumo,351,EA,EA,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,2,99,EA,1,30,8,240,Surgical Department
30-07-2022,PO0170,IT5,Weighing Scale,Nipro,347,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,2,93,EA,1,32,20,640,Paramedical Department
11-12-2021,PO0171,IT6,Torch,Poly Medicure Ltd,318,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,2,76,EA,1,8,5,40,Surgical Department
22-09-2022,PO0172,IT7,Face Mask,Ribbel International Ltd,378,PK100,PK100,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,10,39,PK100,100,18,100,1800,Surgical Department
11-08-2022,PO0173,IT8,First Aid Kit,Advin Healthcare,324,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,15,72,EA,1,47,10,470,Surgical Department
07-07-2022,PO0174,IT9,Gloves,Aegis Lifesciences Private Limited,398,PK100,PK100,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,16,17,PK100,100,20,200,4000,Surgical Department
29-12-2021,PO0175,IT10,Scalpel,Smiths Medical,365,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,13,46,EA,1,15,5,75,Surgical Department
26-06-2022,PO0176,IT11,Microscope,Cardinal Health,372,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,1,94,EA,1,14,1200,16800,Nursing Department
25-01-2022,PO0177,IT12,Otoscope,Becton Dickinson,390,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,20,68,EA,1,9,150,1350,Radiology Department
08-11-2022,PO0178,IT13,Thermometer,General Electric,350,EA,EA,eSolutions,V090,Charlotte,No,1013,enim,TM,24-01-2021,31-11-2021,20,7,EA,1,25,35,875,Surgical Department
29-08-2022,PO0179,IT14,Saline Bag,Medtronic PLC,335,DZ,DZ,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,22,39,DZ,12,7,144,1008,Paramedical Department
26-11-2022,PO0180,IT15,Syringe,Siemens Healthineers,307,PK50,PK50,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,22,99,PK50,50,31,1750,54250,Surgical Department
09-11-2021,PO0181,IT16,X-ray Machine,Johnson & Johnson,301,EA,EA,Cerner Health Services HDX,V928,San Antonio,Yes,1016,metus sapien,FP,29-05-2021,29-08-2022,13,96,EA,1,31,2000,62000,Paramedical Department
08-11-2022,PO0182,IT17,Bandag,Teleflex,315,EA,EA,myhELO,V653,Salt Lake City,Yes,1017,in hac habitasse platea,FP,28-07-2021,06-11-2022,5,95,EA,1,41,2,82,Nursing Department
08-05-2022,PO0183,IT18,Crutches,3M Company,372,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,23,82,EA,1,24,13,312,Outpatient Department
24-05-2022,PO0184,IT19,Plaster,Terumo,351,EA,EA,Toyon Associates Inc,V305,New York,Yes,1019,quam pharetra magna ac,FP,16-10-2021,02-12-2022,16,2,EA,1,14,10,140,Surgical Department
04-08-2021,PO0185,IT20,Cotton Wool,Nipro,347,DZ,DZ,Healthcare IP,V425,Denver,Yes,1020,viverra dapibus,CR,28-04-2021,25-10-2022,13,2,DZ,12,28,120,3360,Nursing Department
19-06-2022,PO0186,IT21,Surgical Mask,Poly Medicure Ltd,318,PK100,PK100,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,16,30,PK100,100,20,100,2000,Paramedical Department
30-12-2022,PO0187,IT22,Oxygen Mask,Ribbel International Ltd,378,PK50,PK50,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,19,80,PK50,50,12,600,7200,Nursing Department
06-04-2022,PO0188,IT23,Dropper,Advin Healthcare,324,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,16,70,EA,1,4,1,4,Outpatient Department
06-12-2022,PO0189,IT24,Needle,Aegis Lifesciences Private Limited,398,PK50,PK50,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,1,28,PK50,50,44,250,11000,Paramedical Department
31-05-2022,PO0190,IT25,Cane,Smiths Medical,365,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,9,28,EA,1,43,10,430,Radiology Department
26-11-2021,PO0191,IT26,Surgical Clamps,Cardinal Health,372,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,15,61,EA,1,1,35,35,Paramedical Department
09-06-2021,PO0192,IT27,Forceps,Becton Dickinson,390,DZ,DZ,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,11,14,DZ,12,17,180,3060,Surgical Department
31-07-2022,PO0193,IT28,Surgical Table,General Electric,350,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,20,13,EA,1,24,1600,38400,Nursing Department
08-01-2022,PO0194,IT29,Utility Table,Medtronic PLC,335,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,14,42,EA,1,44,60,2640,Nursing Department
22-03-2022,PO0195,IT30,Instrument Table,Siemens Healthineers,307,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,9,22,EA,1,13,60,780,Outpatient Department
10-12-2022,PO0196,IT31,Ventilator,Johnson & Johnson,301,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,20,7,EA,1,20,3000,60000,Surgical Department
09-04-2022,PO0197,IT32,Mayo Stands,Teleflex,315,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,6,91,EA,1,41,85,3485,Surgical Department
18-08-2021,PO0198,IT33,Kickbuckets,3M Company,372,EA,EA,eSolutions,V090,Charlotte,Yes,1013,enim,TM,24-01-2021,31-11-2021,15,37,EA,1,36,15,540,Surgical Department
02-10-2021,PO0199,IT34,Arm Supports,Terumo,351,EA,EA,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,16,29,EA,1,12,5,60,Surgical Department
06-11-2022,PO0200,IT35,Medical Syringe Infusion,Nipro,347,EA,EA,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,18,23,EA,1,44,250,11000,Nursing Department
22-05-2021,PO0201,IT36,Pacemakers,Poly Medicure Ltd,318,EA,EA,Cerner Health Services HDX,V928,San Antonio,Yes,1016,metus sapien,FP,29-05-2021,29-08-2022,3,37,EA,1,43,1200,51600,Nursing Department
31-01-2022,PO0202,IT37,Defibrillators,Ribbel International Ltd,378,EA,EA,myhELO,V653,Salt Lake City,Yes,1017,in hac habitasse platea,FP,28-07-2021,06-11-2022,14,61,EA,1,45,1500,67500,Nursing Department
28-06-2022,PO0203,IT38,Wheelchairs,Advin Healthcare,324,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,18,17,EA,1,30,80,2400,Surgical Department
24-02-2022,PO0204,IT39,Traction Equipment,Aegis Lifesciences Private Limited,398,EA,EA,Toyon Associates Inc,V305,New York,Yes,1019,quam pharetra magna ac,FP,16-10-2021,02-12-2022,17,12,EA,1,33,165,5445,Surgical Department
03-05-2021,PO0205,IT40,Needle Holder,Smiths Medical,365,PK50,PK50,Healthcare IP,V425,Denver,Yes,1020,viverra dapibus,CR,28-04-2021,25-10-2022,13,95,PK50,50,11,1250,13750,Nursing Department
27-08-2021,PO0206,IT41,Medicine Cup,Cardinal Health,372,EA,EA,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,12,84,EA,1,38,5,190,Surgical Department
21-03-2022,PO0207,IT42,Gauze,Becton Dickinson,390,EA,EA,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,24,10,EA,1,19,7,133,Surgical Department
24-10-2021,PO0208,IT43,Forceps,General Electric,350,DZ,DZ,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,6,76,DZ,12,3,180,540,Surgical Department
19-10-2021,PO0209,IT44,Trays,Medtronic PLC,335,EA,EA,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,20,67,EA,1,31,10,310,Outpatient Department
26-07-2021,PO0210,IT45,Cotton Swabs,Siemens Healthineers,307,PK100,PK100,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,4,60,PK100,100,15,100,1500,Nursing Department
19-08-2022,PO0211,IT46,Surgical lights,Johnson & Johnson,301,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,17,75,EA,1,31,2000,62000,Nursing Department
06-04-2021,PO0212,IT47,Anesthesia machine,Teleflex,315,EA,EA,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,13,14,EA,1,41,875,35875,Surgical Department
27-07-2021,PO0213,IT48,Walkers,3M Company,372,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,21,95,EA,1,45,20,900,Surgical Department
19-05-2021,PO0214,IT49,Tourniquet,Terumo,351,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,20,85,EA,1,35,260,9100,Radiology Department
21-06-2021,PO0215,IT50,Splints,Nipro,347,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,21,74,EA,1,48,12,576,Radiology Department
25-09-2021,PO0216,IT51,Slings,Poly Medicure Ltd,318,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,14,60,EA,1,41,7,287,Surgical Department
27-10-2022,PO0217,IT52,ECG Machine,Ribbel International Ltd,378,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,24,82,EA,1,21,300,6300,Paramedical Department
15-06-2021,PO0218,IT53,Nebulizers,Advin Healthcare,324,EA,EA,eSolutions,V090,Charlotte,Yes,1013,enim,TM,24-01-2021,31-11-2021,22,31,EA,1,27,15,405,Surgical Department
21-11-2021,PO0219,IT54,Sutures,Aegis Lifesciences Private Limited,398,EA,EA,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,22,23,EA,1,41,12,492,Nursing Department
24-04-2022,PO0220,IT55,Braces,Smiths Medical,365,EA,EA,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,4,41,EA,1,13,60,780,Nursing Department
08-05-2021,PO0221,IT1,Stethscope,Johnson & Johnson,301,EA,EA,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,21,48,EA,1,45,150,6750,Paramedical Department
01-11-2021,PO0222,IT2,Scissor,Teleflex,315,DZ,DZ,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,21,64,DZ,12,48,60,2880,Nursing Department
23-06-2022,PO0223,IT3,Stretcher,3M Company,372,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,21,96,EA,1,40,2000,80000,Outpatient Department
23-09-2022,PO0224,IT4,Magnifier,Terumo,351,EA,EA,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,2,99,EA,1,9,8,72,Surgical Department
03-11-2021,PO0225,IT5,Weighing Scale,Nipro,347,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,2,93,EA,1,46,20,920,Nursing Department
20-06-2022,PO0226,IT6,Torch,Poly Medicure Ltd,318,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,2,76,EA,1,9,5,45,Paramedical Department
01-07-2021,PO0227,IT7,Face Mask,Ribbel International Ltd,378,PK100,PK100,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,10,39,PK100,100,46,100,4600,Surgical Department
20-04-2021,PO0228,IT8,First Aid Kit,Advin Healthcare,324,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,15,72,EA,1,29,10,290,Outpatient Department
02-11-2021,PO0229,IT9,Gloves,Aegis Lifesciences Private Limited,398,PK100,PK100,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,16,17,PK100,100,23,200,4600,Nursing Department
07-08-2021,PO0230,IT10,Scalpel,Smiths Medical,365,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,13,46,EA,1,7,5,35,Nursing Department
08-06-2021,PO0231,IT11,Microscope,Cardinal Health,372,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,1,94,EA,1,3,1200,3600,Outpatient Department
05-04-2022,PO0232,IT12,Otoscope,Becton Dickinson,390,EA,EA,Noble House,V624,Dallas,Yes,1012,massa volutpat convallis,TM,13-06-2021,17-01-2023,20,68,EA,1,19,150,2850,Nursing Department
07-09-2021,PO0233,IT13,Thermometer,General Electric,350,EA,EA,eSolutions,V090,Charlotte,Yes,1013,enim,TM,24-01-2021,31-11-2021,20,7,EA,1,41,35,1435,Surgical Department
11-02-2022,PO0234,IT14,Saline Bag,Medtronic PLC,335,DZ,DZ,Experian Health Inc,V501,New York,Yes,1014,pretium quis lectus,TM,06-07-2021,01-08-2022,22,39,DZ,12,28,144,4032,Radiology Department
21-02-2022,PO0235,IT15,Syringe,Siemens Healthineers,307,PK50,PK50,Eligible Inc,V213,Chicago,Yes,1015,sagittis sapien cum,FP,20-01-2021,07-10-2022,22,99,PK50,50,8,1750,14000,Outpatient Department
02-02-2022,PO0236,IT16,X-ray Machine,Johnson & Johnson,301,EA,EA,Cerner Health Services HDX,V928,San Antonio,Yes,1016,metus sapien,FP,29-05-2021,29-08-2022,13,96,EA,1,1,2000,2000,Nursing Department
07-08-2021,PO0237,IT17,Bandag,Teleflex,315,EA,EA,myhELO,V653,Salt Lake City,Yes,1017,in hac habitasse platea,FP,28-07-2021,06-11-2022,5,95,EA,1,11,2,22,Surgical Department
05-03-2022,PO0238,IT18,Crutches,3M Company,372,EA,EA,Prevounce Health,V971,Houston,Yes,1018,proin at,FP,14-11-2021,19-11-2022,23,82,EA,1,34,13,442,Nursing Department
10-08-2022,PO0239,IT19,Plaster,Terumo,351,EA,EA,Toyon Associates Inc,V305,New York,Yes,1019,quam pharetra magna ac,FP,16-10-2021,02-12-2022,16,2,EA,1,11,10,110,Surgical Department
19-07-2021,PO0240,IT20,Cotton Wool,Nipro,347,DZ,DZ,Healthcare IP,V425,Denver,Yes,1020,viverra dapibus,CR,28-04-2021,25-10-2022,13,2,DZ,12,17,120,2040,Nursing Department
16-04-2021,PO0241,IT21,Surgical Mask,Poly Medicure Ltd,318,PK100,PK100,WellSky,V135,New York,Yes,1001,enim in,TM,29-06-2021,26-11-2022,16,30,PK100,100,12,100,1200,Surgical Department
14-05-2021,PO0242,IT22,Oxygen Mask,Ribbel International Ltd,378,PK50,PK50,Rivet,V672,Los Angeles,Yes,1002,est congue,FP,08-05-2021,04-05-2022,19,80,PK50,50,16,600,9600,Paramedical Department
18-10-2022,PO0243,IT23,Dropper,Advin Healthcare,324,EA,EA,FGA Inc,V522,Chicago,Yes,1003,pellentesque volutpat,TM,26-02-2021,31-07-2022,16,70,EA,1,4,1,4,Nursing Department
22-02-2022,PO0244,IT24,Needle,Aegis Lifesciences Private Limited,398,PK50,PK50,Quadax Inc,V797,Phoenix,Yes,1004,morbi,FP,12-05-2021,12-11-2022,1,28,PK50,50,1,250,250,Paramedical Department
18-07-2021,PO0245,IT25,Cane,Smiths Medical,365,EA,EA,OmniSys,V486,Houston,Yes,1005,libero,FP,23-07-2021,17-08-2022,9,28,EA,1,26,10,260,Nursing Department
08-11-2021,PO0246,IT26,Surgical Clamps,Cardinal Health,372,EA,EA,Etactics,V658,Oklahoma City,Yes,1006,duis faucibus,TM,30-05-2021,07-02-2023,15,61,EA,1,38,35,1330,Surgical Department
19-12-2022,PO0247,IT27,Forceps,Becton Dickinson,390,DZ,DZ,HealthXNet,V565,Denver,Yes,1007,convallis,TM,06-10-2021,21-09-2022,11,14,DZ,12,20,180,3600,Nursing Department
14-06-2021,PO0248,IT28,Surgical Table,General Electric,350,EA,EA,CompMed,V453,Salt Lake City,Yes,1008,mattis egestas metus,FP,22-04-2021,05-01-2023,20,13,EA,1,40,1600,64000,Radiology Department
22-05-2022,PO0249,IT29,Utility Table,Medtronic PLC,335,EA,EA,Ritiko LLC,V878,Miami,Yes,1009,tincidunt,FP,18-03-2021,02-10-2022,14,42,EA,1,36,60,2160,Surgical Department
13-05-2021,PO0250,IT30,Instrument Table,Siemens Healthineers,307,EA,EA,Ability Network,V222,Atlanta,Yes,1010,aenean fermentum,FP,12-06-2021,10-12-2022,9,22,EA,1,27,60,1620,Nursing Department
