PO_Date,PO_Number,Item_ID,Item_Description,Item_Type,Manufacturer_Name,Manufacturer_ID,Lowest_Unit_Of_Measure,Purchasing_Unit_Of_Measure,Vendor_Name,Vendor_ID,Vendor_Country,Vendor_State,Vendor_City,Vendor_Active_Status,Contract_ID,Contract_Description,Contract_Type,Contract_Start_Date,Contract_End_Date,Contract_Status,Contract_Price,Contract_UOM,Unit_Of_Measure,Unit_Of_Measure_In_Number,Quantity_At_UOM,Price_Per_UOM,Total_Price,Department,Budget,Requestor
02-10-2021,PO0199,IT34,Arm Supports,Non-Consumable,Terumo,351,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,16,29,EA,1,12,5,60,Surgical Department,50000000,Alie Gorey
06-11-2022,PO0200,IT35,Medical Syringe Infusion,Consumable,Nipro,347,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,18,23,EA,1,44,250,11000,Nursing Department,50000000,Stephanie Crohan
22-05-2021,PO0201,IT36,Pacemakers,Consumable,Abbott,318,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,3,37,EA,1,43,1250,53750,Nursing Department,50000000,Stephanie Crohan
31-01-2022,PO0202,IT37,Defibrillators,Non-Consumable,Ribbel International Ltd,378,EA,EA,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,14,61,EA,1,45,1520,68400,Nursing Department,50000000,Selina MacDwyer
28-06-2022,PO0203,IT38,Wheelchairs,Non-Consumable,Advin Healthcare,324,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,18,17,EA,1,30,85,2550,Surgical Department,50000000,Alana Rich
24-02-2022,PO0204,IT39,Traction Equipment,Non-Consumable,Aegis Lifesciences Private Limited,398,EA,EA,Axiom,V928,USA,Texas,Dallas,Yes,1016,asd sft sgs,Time And Material,20-01-2021,29-08-2022,In Contract,17,12,EA,1,33,169,5577,Surgical Department,50000000,Tim Giles
03-05-2021,PO0205,IT40,Needle Holder,Consumable,Smiths Medical,365,DZ,PK100,Teleflex Medical,V653,USA,North Carolina,Charlotte,Yes,1017,sg vdh ddv,Cost Reimbursement,29-05-2021,06-11-2022,In Contract,13,95,PK100,100,11,2500,27500,Nursing Department,50000000,Stephanie Crohan
27-08-2021,PO0206,IT41,Medicine Cup,Consumable,Cardinal Health,372,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,12,84,EA,1,38,5,190,Surgical Department,50000000,Alana Rich
21-03-2022,PO0207,IT42,Gauze,Consumable,Becton Dickinson,390,EA,EA,Becton Dickinson,V305,USA,Texas,San Antonio,No,1018,gfjb dghg the,Cost Reimbursement,00-00-0000,00-00-0000,Out of Contract,24,10,EA,1,19,7,133,Surgical Department,50000000,Tim Giles
24-10-2021,PO0208,IT43,Forceps,Consumable,General Electric,350,DZ,DZ,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,6,76,DZ,12,3,180,540,Surgical Department,50000000,Lynn Gilvear
19-10-2021,PO0209,IT44,Trays,Consumable,Medtronic,335,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,20,67,EA,1,31,12,372,Outpatient Department,50000000,Helaina Hammersley
26-07-2021,PO0210,IT45,Cotton Swabs,Consumable,Siemens Healthineers,307,PK50,PK100,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,4,60,PK100,100,15,100,1500,Nursing Department,50000000,Stephanie Crohan
19-08-2022,PO0211,IT46,Surgical lights,Non-Consumable,Johnson & Johnson,301,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,17,75,EA,1,31,1800,55800,Nursing Department,50000000,Stephanie Crohan
06-04-2021,PO0212,IT47,Anesthesia machine,Non-Consumable,Medtronic,335,EA,EA,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,13,14,EA,1,41,850,34850,Surgical Department,50000000,Phillipp Daen
27-07-2021,PO0213,IT48,Walkers,Non-Consumable,3M Company,372,EA,EA,McKesson,V425,USA,Texas,Houston,Yes,1019,erfcgf,Fixed Price,16-10-2021,25-10-2022,In Contract,21,95,EA,1,45,22,990,Surgical Department,50000000,Lynn Gilvear
19-05-2021,PO0214,IT49,Tourniquet,Consumable,Terumo,351,EA,EA,Medline,V754,USA,Utah,Salt Lake City,Yes,1020,viverra dapibus,Fixed Price,28-04-2021,26-10-2022,In Contract,20,85,EA,1,35,267,9345,Radiology Department,50000000,Ashly Shore
21-06-2021,PO0215,IT50,Splints,Consumable,Nipro,347,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,21,74,EA,1,48,12,576,Radiology Department,50000000,Nico Jollands
25-09-2021,PO0216,IT51,Slings,Consumable,Abbott,318,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,14,60,EA,1,41,8,328,Surgical Department,50000000,Alie Gorey
27-10-2022,PO0217,IT52,ECG Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,24,82,EA,1,21,300,6300,Paramedical Department,50000000,Lion Philimore
15-06-2021,PO0218,IT53,Nebulizers,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,Yes,1010,enim,Fixed Price,01-03-2021,30-11-2021,In Contract,22,31,EA,1,27,15,405,Surgical Department,50000000,Tim Giles
21-11-2021,PO0219,IT54,Sutures,Consumable,Aegis Lifesciences Private Limited,398,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,22,23,EA,1,41,11,451,Nursing Department,50000000,Stephanie Crohan
24-04-2022,PO0220,IT55,Braces,Consumable,Smiths Medical,365,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,4,41,EA,1,13,55,715,Nursing Department,50000000,Stephanie Crohan
08-05-2021,PO0221,IT1,Stethscope,Non-Consumable,Johnson & Johnson,301,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,21,48,EA,1,45,150,6750,Paramedical Department,50000000,Lion Philimore
01-11-2021,PO0222,IT2,Scissor,Non-Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,21,64,DZ,12,48,60,2880,Nursing Department,50000000,Devin Teml
23-06-2022,PO0223,IT3,Stretcher,Non-Consumable,3M Company,372,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,21,96,EA,1,40,2000,80000,Outpatient Department,50000000,Wilmar Bignold
23-09-2022,PO0224,IT4,Magnifier,Non-Consumable,Terumo,351,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,2,99,EA,1,9,7.5,67.5,Surgical Department,50000000,Phillipp Daen
03-11-2021,PO0225,IT5,Weighing Scale,Non-Consumable,Nipro,347,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,2,93,EA,1,46,20,920,Nursing Department,50000000,Devin Teml
20-06-2022,PO0226,IT6,Torch,Non-Consumable,Abbott,318,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,2,76,EA,1,9,5,45,Paramedical Department,50000000,Lion Philimore
01-07-2021,PO0227,IT7,Face Mask,Consumable,Medtronic,335,PK50,PK100,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,10,39,PK100,100,46,94,4324,Surgical Department,50000000,Lynn Gilvear
20-04-2021,PO0228,IT8,First Aid Kit,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,15,72,EA,1,29,10,290,Outpatient Department,50000000,Calvin Graben
02-11-2021,PO0229,IT9,Gloves,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK100,Medline,V754,USA,Utah,Salt Lake City,Yes,1020,viverra dapibus,Fixed Price,28-04-2021,26-10-2022,In Contract,16,17,PK100,100,23,195,4485,Nursing Department,50000000,Stephanie Crohan
07-08-2021,PO0230,IT10,Scalpel,Consumable,Smiths Medical,365,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,13,46,EA,1,7,5,35,Nursing Department,50000000,Stephanie Crohan
08-06-2021,PO0231,IT11,Microscope,Non-Consumable,Cardinal Health,372,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,1,94,EA,1,3,1180,3540,Outpatient Department,50000000,Helaina Hammersley
05-04-2022,PO0232,IT12,Otoscope,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,20,68,EA,1,19,145,2755,Nursing Department,50000000,Selina MacDwyer
07-09-2021,PO0233,IT13,Thermometer,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,Yes,1010,enim,Fixed Price,01-03-2021,30-11-2021,In Contract,20,7,EA,1,41,35,1435,Surgical Department,50000000,Tim Giles
11-02-2022,PO0234,IT14,Saline Bag,Consumable,Medtronic,335,DZ,DZ,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,22,39,DZ,12,28,150,4200,Radiology Department,50000000,Ashly Shore
21-02-2022,PO0235,IT15,Syringe,Consumable,Siemens Healthineers,307,DZ,PK100,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,22,99,PK100,100,8,3500,28000,Outpatient Department,50000000,Wilmar Bignold
02-02-2022,PO0236,IT16,X-ray Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,13,96,EA,1,1,2000,2000,Nursing Department,50000000,Devin Teml
07-08-2021,PO0237,IT17,Bandage,Consumable,Teleflex,315,DZ,DZ,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,5,95,DZ,12,11,21,231,Surgical Department,50000000,Alie Gorey
05-03-2022,PO0238,IT18,Crutches,Non-Consumable,3M Company,372,EA,EA,Grifols,V213,USA,Utah,Salt Lake City,Yes,1015,quam pharetra magna ac,Fixed Price,06-07-2021,07-10-2022,In Contract,23,82,EA,1,34,13.5,459,Nursing Department,50000000,Stephanie Crohan
10-08-2022,PO0239,IT19,Plaster,Consumable,Terumo,351,EA,EA,Axiom,V928,USA,Texas,Dallas,Yes,1016,asd sft sgs,Time And Material,20-01-2021,29-08-2022,In Contract,16,2,EA,1,11,9,99,Surgical Department,50000000,Lynn Gilvear
19-07-2021,PO0240,IT20,Cotton Wool,Consumable,Nipro,347,DZ,DZ,Teleflex Medical,V653,USA,North Carolina,Charlotte,Yes,1017,sg vdh ddv,Cost Reimbursement,29-05-2021,06-11-2022,In Contract,13,2,DZ,12,17,120,2040,Nursing Department,50000000,Devin Teml
16-04-2021,PO0241,IT21,Surgical Mask,Consumable,Abbott,318,DZ,PK100,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,16,30,PK100,100,12,104,1248,Surgical Department,50000000,Tim Giles
14-05-2021,PO0242,IT22,Oxygen Mask,Consumable,Becton Dickinson,390,DZ,PK100,Becton Dickinson,V305,USA,Texas,San Antonio,No,1018,gfjb dghg the,Cost Reimbursement,00-00-0000,00-00-0000,Out of Contract,19,80,PK100,100,16,1200,19200,Paramedical Department,50000000,Lion Philimore
18-10-2022,PO0243,IT23,Dropper,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,16,70,EA,1,4,1,4,Nursing Department,50000000,Stephanie Crohan
22-02-2022,PO0244,IT24,Needle,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK50,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,1,28,PK50,50,1,250,250,Paramedical Department,50000000,Lilly Ondricek
18-07-2021,PO0245,IT25,Cane,Non-Consumable,Smiths Medical,365,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,9,28,EA,1,26,10,260,Nursing Department,50000000,Selina MacDwyer
08-11-2021,PO0246,IT26,Surgical Clamps,Consumable,Cardinal Health,372,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,15,61,EA,1,38,35,1330,Surgical Department,50000000,Lynn Gilvear
19-12-2022,PO0247,IT27,Forceps,Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,11,14,DZ,12,20,179,3580,Nursing Department,50000000,Stephanie Crohan
14-06-2021,PO0248,IT28,Surgical Table,Non-Consumable,General Electric,350,EA,EA,McKesson,V425,USA,Texas,Houston,Yes,1019,erfcgf,Fixed Price,16-10-2021,25-10-2022,In Contract,20,13,EA,1,40,1650,66000,Radiology Department,50000000,Ashly Shore
22-05-2022,PO0249,IT29,Utility Table,Non-Consumable,Medtronic,335,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,14,42,EA,1,36,67,2412,Surgical Department,50000000,Alana Rich
13-05-2021,PO0250,IT30,Instrument Table,Non-Consumable,Siemens Healthineers,307,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,9,22,EA,1,27,60,1620,Nursing Department,50000000,Devin Teml
26-11-2022,PO0251,IT31,Ventilator,Non-Consumable,Johnson & Johnson,301,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,20,7,EA,1,8,2950,23600,Nursing Department,50000000,Selina MacDwyer
29-10-2021,PO0252,IT32,Mayo Stands,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,6,91,EA,1,14,85,1190,Surgical Department,50000000,Tim Giles
20-12-2021,PO0253,IT33,Kickbuckets,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,No,1010,enim,Fixed Price,01-03-2021,30-11-2021,Contract Expired,15,37,EA,1,15,12,180,Surgical Department,50000000,Tim Giles
15-10-2021,PO0254,IT34,Arm Supports,Non-Consumable,Terumo,351,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,16,29,EA,1,20,5,100,Radiology Department,50000000,Nico Jollands
22-07-2021,PO0255,IT35,Medical Syringe Infusion,Consumable,Nipro,347,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,18,23,EA,1,26,250,6500,Nursing Department,50000000,Stephanie Crohan
02-08-2021,PO0256,IT36,Pacemakers,Consumable,Abbott,318,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,3,37,EA,1,24,1250,30000,Paramedical Department,50000000,Lion Philimore
13-10-2022,PO0257,IT37,Defibrillators,Non-Consumable,Ribbel International Ltd,378,EA,EA,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,14,61,EA,1,22,1520,33440,Surgical Department,50000000,Alana Rich
06-08-2021,PO0258,IT38,Wheelchairs,Non-Consumable,Advin Healthcare,324,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,18,17,EA,1,48,85,4080,Paramedical Department,50000000,Lion Philimore
15-03-2022,PO0259,IT39,Traction Equipment,Non-Consumable,Aegis Lifesciences Private Limited,398,EA,EA,Axiom,V928,USA,Texas,Dallas,Yes,1016,asd sft sgs,Time And Material,20-01-2021,29-08-2022,In Contract,17,12,EA,1,42,169,7098,Surgical Department,50000000,Alie Gorey
23-11-2021,PO0260,IT40,Needle Holder,Consumable,Smiths Medical,365,DZ,PK50,Teleflex Medical,V653,USA,North Carolina,Charlotte,Yes,1017,sg vdh ddv,Cost Reimbursement,29-05-2021,06-11-2022,In Contract,13,95,PK50,50,3,1250,3750,Nursing Department,50000000,Devin Teml
10-08-2022,PO0261,IT41,Medicine Cup,Consumable,Cardinal Health,372,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,12,84,EA,1,32,5,160,Paramedical Department,50000000,Lion Philimore
28-08-2022,PO0262,IT42,Gauze,Consumable,Becton Dickinson,390,EA,EA,Becton Dickinson,V305,USA,Texas,San Antonio,No,1018,gfjb dghg the,Cost Reimbursement,00-00-0000,00-00-0000,Out of Contract,24,10,EA,1,33,7,231,Nursing Department,50000000,Stephanie Crohan
27-05-2022,PO0263,IT43,Forceps,Consumable,General Electric,350,DZ,DZ,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,6,76,DZ,12,27,180,4860,Surgical Department,50000000,Tim Giles
02-10-2021,PO0264,IT44,Trays,Consumable,Medtronic,335,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,20,67,EA,1,30,12,360,Surgical Department,50000000,Tim Giles
05-10-2022,PO0265,IT45,Cotton Swabs,Consumable,Siemens Healthineers,307,PK50,PK100,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,4,60,PK100,100,8,100,800,Nursing Department,50000000,Stephanie Crohan
03-04-2021,PO0266,IT46,Surgical lights,Non-Consumable,Johnson & Johnson,301,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,17,75,EA,1,39,1800,70200,Paramedical Department,50000000,Lilly Ondricek
30-11-2021,PO0267,IT47,Anesthesia machine,Non-Consumable,Medtronic,335,EA,EA,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,13,14,EA,1,12,850,10200,Surgical Department,50000000,Alana Rich
17-04-2022,PO0268,IT48,Walkers,Non-Consumable,3M Company,372,EA,EA,McKesson,V425,USA,Texas,Houston,Yes,1019,erfcgf,Fixed Price,16-10-2021,25-10-2022,In Contract,21,95,EA,1,23,22,506,Radiology Department,50000000,Ashly Shore
05-09-2021,PO0269,IT49,Tourniquet,Consumable,Terumo,351,EA,EA,Medline,V754,USA,Utah,Salt Lake City,Yes,1020,viverra dapibus,Fixed Price,28-04-2021,26-10-2022,In Contract,20,85,EA,1,41,267,10947,Paramedical Department,50000000,Lion Philimore
11-08-2021,PO0270,IT50,Splints,Consumable,Nipro,347,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,21,74,EA,1,28,12,336,Paramedical Department,50000000,Lilly Ondricek
21-05-2022,PO0271,IT51,Slings,Consumable,Abbott,318,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,14,60,EA,1,30,8,240,Paramedical Department,50000000,Lion Philimore
30-07-2022,PO0272,IT52,ECG Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,24,82,EA,1,38,300,11400,Surgical Department,50000000,Alana Rich
12-07-2022,PO0273,IT53,Nebulizers,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,No,1010,enim,Fixed Price,01-03-2021,30-11-2021,Contract Expired,22,31,EA,1,7,15,105,Nursing Department,50000000,Stephanie Crohan
05-04-2021,PO0274,IT54,Sutures,Consumable,Aegis Lifesciences Private Limited,398,EA,EA,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,22,23,EA,1,41,11,451,Surgical Department,50000000,Tim Giles
08-08-2021,PO0275,IT55,Braces,Consumable,Smiths Medical,365,EA,EA,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,4,41,EA,1,19,55,1045,Surgical Department,50000000,Tim Giles
21-05-2021,PO0276,IT1,Stethscope,Non-Consumable,Johnson & Johnson,301,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,21,48,EA,1,1,150,150,Nursing Department,50000000,Devin Teml
14-08-2021,PO0277,IT2,Scissor,Non-Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,21,64,DZ,12,34,60,2040,Paramedical Department,50000000,Lilly Ondricek
19-05-2021,PO0278,IT3,Stretcher,Non-Consumable,3M Company,372,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,21,96,EA,1,12,2000,24000,Surgical Department,50000000,Alie Gorey
23-11-2021,PO0279,IT4,Magnifier,Non-Consumable,Terumo,351,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,2,99,EA,1,2,7.5,15,Surgical Department,50000000,Tim Giles
12-09-2021,PO0280,IT5,Weighing Scale,Non-Consumable,Nipro,347,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,2,93,EA,1,23,20,460,Nursing Department,50000000,Stephanie Crohan
18-08-2022,PO0281,IT6,Torch,Non-Consumable,Abbott,318,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,2,76,EA,1,34,5,170,Nursing Department,50000000,Stephanie Crohan
29-10-2022,PO0282,IT7,Face Mask,Consumable,Medtronic,335,PK50,PK50,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,10,39,PK50,50,40,47,1880,Paramedical Department,50000000,Lion Philimore
26-12-2021,PO0283,IT8,First Aid Kit,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,15,72,EA,1,34,10,340,Nursing Department,50000000,Devin Teml
02-10-2021,PO0284,IT9,Gloves,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK100,Medline,V754,USA,Utah,Salt Lake City,Yes,1020,viverra dapibus,Fixed Price,28-04-2021,26-10-2022,In Contract,16,17,PK100,100,49,195,9555,Surgical Department,50000000,Alie Gorey
06-04-2022,PO0285,IT10,Scalpel,Consumable,Smiths Medical,365,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,13,46,EA,1,1,5,5,Surgical Department,50000000,Tim Giles
05-11-2021,PO0286,IT11,Microscope,Non-Consumable,Cardinal Health,372,EA,EA,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,1,94,EA,1,42,1250,52500,Nursing Department,50000000,Stephanie Crohan
25-04-2022,PO0287,IT12,Otoscope,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,20,68,EA,1,8,145,1160,Nursing Department,50000000,Selina MacDwyer
20-09-2021,PO0288,IT13,Thermometer,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,Yes,1010,enim,Fixed Price,01-03-2021,30-11-2021,In Contract,20,7,EA,1,7,35,245,Paramedical Department,50000000,Lilly Ondricek
02-07-2022,PO0289,IT14,Saline Bag,Consumable,Medtronic,335,DZ,DZ,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,22,39,DZ,12,11,142,1562,Outpatient Department,50000000,Helaina Hammersley
27-07-2021,PO0290,IT15,Syringe,Consumable,Siemens Healthineers,307,DZ,PK50,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,22,99,PK50,50,21,1750,36750,Paramedical Department,50000000,Lion Philimore
03-04-2022,PO0291,IT16,X-ray Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,13,96,EA,1,12,2150,25800,Surgical Department,50000000,Lynn Gilvear
26-03-2022,PO0292,IT17,Bandage,Consumable,Teleflex,315,DZ,DZ,AmerisourceBergen,V501,USA,Georgia,Atlanta,Yes,1014,in hac habitasse platea,Time And Material,24-01-2021,01-08-2022,In Contract,5,95,DZ,12,21,21,441,Surgical Department,50000000,Phillipp Daen
30-08-2022,PO0293,IT18,Crutches,Non-Consumable,3M Company,372,EA,EA,Grifols,V213,USA,Utah,Salt Lake City,Yes,1015,quam pharetra magna ac,Fixed Price,06-07-2021,07-10-2022,In Contract,23,82,EA,1,46,13.5,621,Outpatient Department,50000000,Wilmar Bignold
